planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,config,seed,optimal_true_return,optimal_first_action,repair,regret
random_shooting,5.4228729493268615,5.4228729493268615,-4.003743477964621,256,-0.7223083169710582,9.426616427291481,4.8150486394919545,0.31146418917734897,0.7841662758514509,0.5797908747597592,0.3827540580252522,0.5797908747597592,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,,11.810467116692738
best_of_n,5.9701826420460264,5.9701826420460264,5.970182642042971,256,1.0,3.055333763768431e-12,5.397412630828009,0.3475748375470118,0.8937774959209747,0.6500117620745618,0.5022137833546705,0.6500117620745618,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,,1.8365409966851454
best_of_n_equal_budget,6.4385512950837915,6.4385512950837915,-4.535374782225935,1280,-0.6242789700484963,10.973926077309727,4.337507692798541,0.2812121969006464,0.7358611165998221,0.6633367847454583,0.277445542260602,0.6633367847454583,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 1280, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,,12.342098420954052
cem,7.091103296631345,7.091103296631345,-5.101118757133571,1280,-1.0,12.192222053764915,11.381480943836797,0.7100525375036403,1.7025850851629714,0.20729588714681435,1.1618003869575062,0.20729588714681435,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,none,12.907842395861689
cem_uncertainty,7.459412770714753,7.5050450114886775,7.505045011482094,1280,0.9021330963375997,6.583178446817328e-12,2.3657400824652963e-10,2.703994764905931e-13,0.036672714796351195,0.13278144476835618,1.6884288805367142,0.13278144476835618,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,uncertainty_pessimism,0.3016786272460221
cem_diversity,6.794284035538985,6.794284035538985,-5.6587912784524725,1280,-0.37562577812274567,12.453075313991459,9.836274691777879,0.6200242991284793,1.5105285379322988,0.2998289903053891,1.2053043143150097,0.2998289903053891,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,elite_diversity_floor,13.465514917180588
cem_veto,7.5312735194567555,7.5312735194567555,7.531273519448581,1280,0.935253234877125,8.174794174919953e-12,7.853423894105688e-11,2.21022688424316e-14,0.03557548875929294,0.11687018275153149,1.6950580570099385,0.11687018275153149,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,model_disagreement_veto,0.2754501192795358
cem_shadow,6.601210415398047,7.321743212803761,-6.235267969523081,1280,-0.31496650294123196,13.557011182326843,11.54242805846467,0.7163858508136076,1.7083117326528416,0.1890498172898198,1.1313199218192755,0.1890498172898198,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,shadow_realism,14.041991608251198
cem_conservative,6.082053081998008,6.082053081998008,6.0820530819976355,1280,1.0,3.7214675785435247e-13,1.1678652388948123,0.0778054367429401,0.27036008452551313,0.7062906156524096,1.1959987204003182,1.2713231081743375,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,conservative_refit_temperature,1.724670556730481
cem_pilot_calibrated,7.592990944477734,7.592990944477734,7.592990944473758,1280,0.9550637303386194,3.9754866065777605e-12,1.5075803853156124e-11,2.330973576423128e-15,0.03506483415525111,0.1008307302279439,1.7157738818912605,0.1008307302279439,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,pilot_label_calibration,0.21373269425435826
cem_combined_repair,7.107535982406736,7.197386284375344,7.19738628437319,1280,1.0,2.1538326677728037e-12,6.21055753832969e-10,6.091102530645652e-13,0.04928113679683385,0.2528156661652013,1.7424804469263122,0.36658271593954184,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.8067236387281165,1.0,combined,0.6093373543549268
random_shooting,6.227444717847608,6.227444717847608,-3.9717331266868863,256,-0.9475113585303554,10.199177844534494,4.7496877540869935,0.30588561758539445,0.789590896421559,0.5854049040285761,0.38268718894442066,0.5854049040285761,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.807111736209965,1.0,,11.77884486289685
best_of_n,5.035784146760007,5.035784146760007,-3.899725457633824,256,-1.0,8.93550960439383,4.239804759338434,0.27586418750379743,0.7043646980062799,0.6885528856959311,0.31286055034083937,0.6885528856959311,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.807111736209965,1.0,,11.70683719384379
