task,seed,planner,label,iteration,best_true_return,best_model_return,best_tail_gap,best_bad_event_probability,proposal_drift,entropy,elite_bad_event_probability
CliffWalking-v1,2,cem,vanilla CEM,2,-1503.0,41.28000000000001,1544.28,15.0,2.531088707995643,0.7313524316045629,12.333333333333334
CliffWalking-v1,2,cem,vanilla CEM,3,-1503.0,41.28000000000001,1544.28,15.0,2.7772676506412934,0.6137788733773427,14.444444444444445
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,0,-18.0,-18.76,-0.7600000000000016,0.0,0.6592868047436495,1.335759773845972,0.0
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,1,-18.0,-18.75,-0.75,0.0,0.9484382552211514,1.284602798722024,0.0
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,2,-18.0,-18.56,-0.5599999999999987,0.0,0.9868714654179633,1.2798152273321959,0.0
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,3,-18.0,-18.309999999999995,-0.30999999999999517,0.0,1.1480085163965503,1.2468536793445495,0.0
CliffWalking-v1,3,cem,vanilla CEM,0,-711.0,9.28,720.28,7.0,1.2998687417042236,1.188795665051761,5.777777777777778
CliffWalking-v1,3,cem,vanilla CEM,1,-1008.0,21.28000000000001,1029.28,10.0,2.034679130066062,0.9263879967201719,8.444444444444445
CliffWalking-v1,3,cem,vanilla CEM,2,-1305.0,33.28000000000001,1338.28,13.0,2.582993404214435,0.6967600184165177,11.222222222222221
CliffWalking-v1,3,cem,vanilla CEM,3,-1503.0,41.28000000000001,1544.28,15.0,2.743983613662554,0.6338156695781691,13.333333333333334
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,0,-18.0,-18.569999999999997,-0.5699999999999967,0.0,0.7818644278077078,1.3130080877322396,0.0
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,1,-18.0,-18.47,-0.46999999999999886,0.0,1.1316949549566704,1.2490491305964533,0.0
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,2,-18.0,-18.43,-0.4299999999999997,0.0,1.1799592022643262,1.2389528339027134,0.0
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,3,-18.0,-18.379999999999995,-0.37999999999999545,0.0,1.115142765940645,1.2549100971435851,0.0
Taxi-v3,0,cem,vanilla CEM,0,-52.0,-15.740000000000006,36.25999999999999,4.0,1.3505583120734863,1.4355905316737658,5.333333333333333
Taxi-v3,0,cem,vanilla CEM,1,-61.0,-15.640000000000004,45.36,5.0,1.627762655965764,1.303181104046213,5.111111111111111
Taxi-v3,0,cem,vanilla CEM,2,-61.0,-15.640000000000004,45.36,5.0,1.869335404796843,1.2181402674376856,4.666666666666667
Taxi-v3,0,cem,vanilla CEM,3,-52.0,-15.630000000000003,36.37,4.0,2.1286660760533755,1.0952666620802138,3.6666666666666665
Taxi-v3,0,risk_gated_cem,risk-gated CEM,0,-25.0,-15.940000000000001,9.059999999999999,1.0,0.7806247497997999,1.6783259939088817,2.3333333333333335
Taxi-v3,0,risk_gated_cem,risk-gated CEM,1,-25.0,-15.690000000000001,9.309999999999999,1.0,0.9354143466934854,1.6428454411622297,1.2222222222222223
Taxi-v3,0,risk_gated_cem,risk-gated CEM,2,-16.0,-15.870000000000003,0.12999999999999723,0.0,1.0038986502630631,1.6144341441946057,0.5555555555555556
Taxi-v3,0,risk_gated_cem,risk-gated CEM,3,-16.0,-15.870000000000001,0.129999999999999,0.0,1.0458250331675945,1.6070821559227233,0.5555555555555556
Taxi-v3,1,cem,vanilla CEM,0,-34.0,-15.580000000000002,18.419999999999998,2.0,1.1257021751801795,1.529033225875333,5.666666666666667
Taxi-v3,1,cem,vanilla CEM,1,-79.0,-15.550000000000002,63.449999999999996,7.0,1.6336497010623308,1.2957355835337103,5.111111111111111
Taxi-v3,1,cem,vanilla CEM,2,-43.0,-15.490000000000006,27.509999999999994,3.0,1.9399010279824878,1.1704244762277565,4.444444444444445
Taxi-v3,1,cem,vanilla CEM,3,-61.0,-15.430000000000003,45.56999999999999,5.0,2.234283156254876,1.0670919215859653,4.333333333333333
Taxi-v3,1,risk_gated_cem,risk-gated CEM,0,-34.0,-15.580000000000002,18.419999999999998,2.0,0.7654655446197433,1.6850556788898345,2.5555555555555554
Taxi-v3,1,risk_gated_cem,risk-gated CEM,1,-16.0,-15.93,0.07000000000000028,0.0,0.9762812094883319,1.6314695853604144,1.2222222222222223
Taxi-v3,1,risk_gated_cem,risk-gated CEM,2,-16.0,-15.680000000000003,0.31999999999999673,0.0,0.947859430506444,1.6324080939572898,0.3333333333333333
Taxi-v3,1,risk_gated_cem,risk-gated CEM,3,-16.0,-15.660000000000004,0.3399999999999963,0.0,0.9762812094883319,1.624704285218955,0.2222222222222222
Taxi-v3,2,cem,vanilla CEM,0,-88.0,-15.640000000000002,72.36,8.0,1.2079760773494763,1.504624701141209,5.888888888888889
Taxi-v3,2,cem,vanilla CEM,1,-43.0,-15.540000000000003,27.459999999999997,3.0,1.5798767708787056,1.358645979620218,5.111111111111111
Taxi-v3,2,cem,vanilla CEM,2,-61.0,-15.420000000000005,45.58,5.0,2.078465387124094,1.0862768624921944,4.111111111111111
Taxi-v3,2,cem,vanilla CEM,3,-61.0,-15.420000000000005,45.58,5.0,2.2810572373774,0.9957493409963917,3.3333333333333335
Taxi-v3,2,risk_gated_cem,risk-gated CEM,0,-16.0,-16.03,-0.030000000000001137,0.0,0.9142961773954872,1.6510380165512144,1.6666666666666667
Taxi-v3,2,risk_gated_cem,risk-gated CEM,1,-16.0,-16.03,-0.030000000000001137,0.0,0.9960860906568267,1.625686810286198,1.0
Taxi-v3,2,risk_gated_cem,risk-gated CEM,2,-16.0,-15.800000000000002,0.1999999999999975,0.0,0.8838834764831844,1.6552825787482652,0.7777777777777778
Taxi-v3,2,risk_gated_cem,risk-gated CEM,3,-16.0,-15.680000000000001,0.3199999999999985,0.0,0.9921567416492215,1.618878332039246,0.6666666666666666
Taxi-v3,3,cem,vanilla CEM,0,-43.0,-15.660000000000002,27.339999999999996,3.0,1.0733149106666893,1.5444714778139095,7.111111111111111
Taxi-v3,3,cem,vanilla CEM,1,-61.0,-15.590000000000007,45.41,5.0,1.4923838207450488,1.3724169689075878,7.666666666666667
Taxi-v3,3,cem,vanilla CEM,2,-61.0,-15.590000000000007,45.41,5.0,1.6627723096992753,1.2903842436306452,7.222222222222222
Taxi-v3,3,cem,vanilla CEM,3,-79.0,-15.560000000000004,63.44,7.0,1.833034174328648,1.2158155041277507,7.0
Taxi-v3,3,risk_gated_cem,risk-gated CEM,0,-16.0,-15.760000000000003,0.23999999999999666,0.0,0.7500000000000001,1.6865977234659795,1.8888888888888888
Taxi-v3,3,risk_gated_cem,risk-gated CEM,1,-16.0,-15.760000000000003,0.23999999999999666,0.0,0.9185586535436919,1.6388771049070585,0.6666666666666666
Taxi-v3,3,risk_gated_cem,risk-gated CEM,2,-16.0,-15.760000000000003,0.23999999999999666,0.0,1.034559084827928,1.6092157838079242,0.2222222222222222
Taxi-v3,3,risk_gated_cem,risk-gated CEM,3,-16.0,-15.760000000000003,0.23999999999999666,0.0,0.9842509842514764,1.6224408465443132,0.3333333333333333
