task,seed,planner,label,selected_true_return,selected_model_return,selected_tail_gap,bad_event_probability,proposal_drift,final_entropy,sequence,oracle_true_return,regret
FrozenLake-v1,0,static,static,0.020418070867697456,-0.17348006646081118,-0.19389813732850864,0.9106448316934526,0.0,1.3862943611198906,2 1 2 2 2 2 1 2 3 2 2 0,0.04426267450196731,0.023844603634269854
FrozenLake-v1,0,equal_static,equal-budget static,0.021516969898822264,-0.17325323036799958,-0.19477020026682185,0.91406195607791,0.0,1.3862943611198906,1 1 1 2 1 1 2 0 1 2 3 2,0.04426267450196731,0.022745704603145046
FrozenLake-v1,0,cem,vanilla CEM,0.03380808029489634,-0.1498247594747115,-0.18363283976960784,0.9172815044379341,1.9091260748812966,0.7681871444903309,2 1 1 1 1 2 2 1 1 2 1 2,0.04426267450196731,0.010454594207070969
FrozenLake-v1,0,risk_gated_cem,risk-gated CEM,0.027547742835046612,-0.1591312488121919,-0.1866789916472385,0.924535367049212,1.2177662113289833,1.158172245607082,1 2 2 2 2 1 1 2 1 1 1 1,0.04426267450196731,0.016714931666920698
FrozenLake-v1,1,static,static,0.009427198880026197,-0.20633741092614216,-0.21576460980616835,0.885838691406949,0.0,1.3862943611198906,2 2 2 2 2 0 0 0 1 2 3 3,0.04426267450196731,0.034835475621941114
FrozenLake-v1,1,equal_static,equal-budget static,0.016159837122088818,-0.17996667551054601,-0.19612651263263484,0.9081083318750344,0.0,1.3862943611198906,2 2 2 2 1 2 2 0 2 3 0 1,0.04426267450196731,0.028102837379878492
FrozenLake-v1,1,cem,vanilla CEM,0.03449489218934935,-0.14871154088600644,-0.18320643307535578,0.9190239368057793,2.2885435631914457,0.5897527586120576,2 1 1 1 1 2 1 1 2 2 2 1,0.04426267450196731,0.009767782312617962
FrozenLake-v1,1,risk_gated_cem,risk-gated CEM,0.03183796507984895,-0.15136101655687118,-0.18319898163672013,0.916156261936885,1.2553604072401343,1.142609157417241,2 1 1 1 1 1 2 2 1 2 1 0,0.04426267450196731,0.01242470942211836
FrozenLake-v1,2,static,static,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,0.0,1.3862943611198906,1 1 1 1 1 1 2 1 2 1 0 3,0.04426267450196731,0.014460683311976315
FrozenLake-v1,2,equal_static,equal-budget static,0.025952081228207847,-0.16244546431306586,-0.18839754554127372,0.9216639288274717,0.0,1.3862943611198906,1 1 1 1 2 1 1 2 0 1 1 1,0.04426267450196731,0.018310593273759463
