planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,repair,config,seed,population,iterations,elite_fraction,optimal_true_return,regret
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,2.9014136927817153,0.18431667675055136,0.5212005760964764,0.6065492596543668,0.8804560898900885,0.6065492596543668,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 1, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,1,0.05,7.803822402340721,1.8336397602977499
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,1.6890993460732033,0.10556274967545438,0.34037281140279696,0.613588805789508,1.0492617108674056,0.8897037683947867,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 1, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,1,0.05,7.803822402340721,1.8336397602977499
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,4.0147363866537,0.25896881739016864,0.706656648240315,0.6696491153802804,0.23739694634620193,0.6696491153802804,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 1, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,1,0.1,7.803822402340721,1.8336397602977499
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,2.903711835785002,0.1883140962070549,0.5256780229486805,0.6482509810564059,0.5939034761539725,0.9399639225317886,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 1, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,1,0.1,7.803822402340721,1.8336397602977499
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,3.6736517941891913,0.24126524463934024,0.6796804501731373,0.6942506117386482,0.30017930647037594,0.6942506117386482,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.2, 'iterations': 1, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,1,0.2,7.803822402340721,1.8336397602977499
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,2.892263859046263,0.187832017202476,0.5302194360850275,0.6664797451049637,0.3939184545897864,0.9663956304021974,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.2, 'iterations': 1, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,1,0.2,7.803822402340721,1.8336397602977499
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,192,1.0,3.055333763768431e-12,1.5907655620015766,0.09859674887889193,0.2784677477369103,0.4249481536761296,1.3229513234565329,0.4249481536761296,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 2, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,2,0.05,7.803822402340721,1.8336397602977499
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,192,1.0,3.055333763768431e-12,2.0428331819033472e-06,3.4933985494733396e-07,0.06073969261719768,0.3706720036518499,1.5906505874945425,0.5374744052951823,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 2, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,2,0.05,7.803822402340721,1.8336397602977499
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,192,1.0,3.055333763768431e-12,5.154279339021759,0.334762086718455,0.8861574804009704,0.5695231765493941,0.43750476489610113,0.5695231765493941,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 2, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,2,0.1,7.803822402340721,1.8336397602977499
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,192,1.0,3.055333763768431e-12,0.9928463647171111,0.06551265451935508,0.2298725077397931,0.5389213298627864,1.095425954273241,0.7814359283010401,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 2, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,2,0.1,7.803822402340721,1.8336397602977499
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,192,1.0,3.055333763768431e-12,4.792105764461644,0.31481471606293177,0.8171803060795714,0.6032590236921607,0.5192412456752734,0.6032590236921607,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.2, 'iterations': 2, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,2,0.2,7.803822402340721,1.8336397602977499
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,192,1.0,3.055333763768431e-12,2.0409568656992314,0.13575514011341877,0.42015799496642137,0.6495096623849121,0.7557610984371828,0.9417890104581226,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.2, 'iterations': 2, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,2,0.2,7.803822402340721,1.8336397602977499
cem,6.708046329001319,6.708046329001319,6.708046328994703,384,0.854526822379601,6.616041048346233e-12,1.0700748731551357e-09,1.1034844301460578e-12,0.04223780866920203,0.1139560329181229,1.6651456972564753,0.1139560329181229,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,4,0.05,7.803822402340721,1.095776073346018
cem_repaired,7.218621561482102,7.294817414569851,7.294817414568976,384,0.9297017916473962,8.757439218243235e-13,3.632081302384904e-11,1.8373226518057713e-13,0.03616129744118705,0.13122925433878108,1.6970172020817347,0.19028241879123253,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,4,0.05,7.803822402340721,0.5090049877717453
cem,6.1657073901073876,6.1657073901073876,-4.479772479017024,384,-0.6011082606092617,10.645479869124411,10.062920930398388,0.6358505314191356,1.4904616857019395,0.2525505605460866,1.1718158892,0.2525505605460866,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,4,0.1,7.803822402340721,12.283594881357745
cem_repaired,6.752113820288057,6.840142326392248,6.840142326383588,384,0.9197059255737212,8.659739592076221e-12,3.041185081542608e-09,6.0777395360753e-11,0.05424957118962037,0.2482783948465769,1.6842563749704642,0.3600036725275365,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,4,0.1,7.803822402340721,0.9636800759571331
cem,6.076716352823602,6.076716352823602,-4.249468919455495,384,-0.7876793193918116,10.326185272279098,8.090331932139744,0.5203429609935609,1.3240128087917602,0.354434794013194,1.0886075436819151,0.354434794013194,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.2, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,4,0.2,7.803822402340721,12.053291321796216
cem_repaired,5.846028827506187,5.9701826420460264,5.970182642042971,384,1.0,3.055333763768431e-12,0.49956541886557393,0.032261317825012036,0.18049456743479214,0.6037358014087426,1.3107095168371166,0.8754169120426767,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.2, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,4,0.2,7.803822402340721,1.8336397602977499
cem,7.247963713955459,7.247963713955459,7.2479637139305355,576,0.7541374489537758,2.4923174635205214e-11,1.3907275331348502e-11,4.39490247235474e-15,0.03401481546763936,0.039289596867175605,1.7628806233573984,0.04475876034970503,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 6, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,6,0.05,7.803822402340721,0.5558586884101855
cem_repaired,7.4082822981337895,7.478262308459969,7.478262308457298,576,0.9002616424103226,2.6707525080382766e-12,1.6315304662839482e-11,4.720024353520341e-15,0.03587389438613205,0.11703320318372357,1.7297999892904325,0.16969814461639912,combined,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.05, 'iterations': 6, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,6,0.05,7.803822402340721,0.3255600938834231
cem,7.910239334528008,7.910239334528008,-6.371167622178062,576,-0.49597685995858704,14.28140695670607,13.042507547430777,0.7852084085831822,1.8187116098807916,0.09776394530803721,1.1800535965348624,0.09776394530803721,none,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 6, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,96,6,0.1,7.803822402340721,14.174990024518783
