seed,population,iterations,elite_fraction,cem,cem_repaired,repair_regret_reduction
0,96,1,0.05,1.8336397602977499,1.8336397602977499,0.0
0,96,1,0.1,1.8336397602977499,1.8336397602977499,0.0
0,96,1,0.2,1.8336397602977499,1.8336397602977499,0.0
0,96,2,0.05,1.8336397602977499,1.8336397602977499,0.0
0,96,2,0.1,1.8336397602977499,1.8336397602977499,0.0
0,96,2,0.2,1.8336397602977499,1.8336397602977499,0.0
0,96,4,0.05,1.095776073346018,0.5090049877717453,0.5867710855742727
0,96,4,0.1,12.283594881357745,0.9636800759571331,11.319914805400611
0,96,4,0.2,12.053291321796216,1.8336397602977499,10.219651561498466
0,96,6,0.05,0.5558586884101855,0.3255600938834231,0.23029859452676238
0,96,6,0.1,14.174990024518783,0.600994686668539,13.573995337850244
0,96,6,0.2,13.939747939345764,1.6172988353376443,12.32244910400812
0,192,1,0.05,1.8336397602977499,1.8336397602977499,0.0
0,192,1,0.1,1.8336397602977499,1.8336397602977499,0.0
0,192,1,0.2,1.8336397602977499,1.8336397602977499,0.0
0,192,2,0.05,1.8336397602977499,1.8336397602977499,0.0
0,192,2,0.1,1.8336397602977499,1.8336397602977499,0.0
0,192,2,0.2,1.8336397602977499,1.8336397602977499,0.0
0,192,4,0.05,13.99470114376087,1.604206066008926,12.390495077751945
0,192,4,0.1,13.727207899395175,1.2932242984658258,12.433983600929349
0,192,4,0.2,1.8336397602977499,1.8336397602977499,0.0
0,192,6,0.05,13.922014754838708,0.36165344476325245,13.560361310075455
0,192,6,0.1,13.911534215112114,0.6483509323897421,13.263183282722373
0,192,6,0.2,13.218766037685366,0.633429437025347,12.58533660066002
0,384,1,0.05,1.8336397602977499,1.8336397602977499,0.0
0,384,1,0.1,1.8336397602977499,1.8336397602977499,0.0
0,384,1,0.2,1.8336397602977499,1.8336397602977499,0.0
0,384,2,0.05,12.778164950619285,1.8336397602977499,10.944525190321535
0,384,2,0.1,1.8336397602977499,1.8336397602977499,0.0
0,384,2,0.2,1.8336397602977499,1.8336397602977499,0.0
0,384,4,0.05,14.061901917792472,0.4157977478659918,13.646104169926481
0,384,4,0.1,13.849680772907316,0.6182124318862057,13.23146834102111
0,384,4,0.2,13.231902191033374,1.7672953547849346,11.46460683624844
0,384,6,0.05,14.395717426897544,0.4157977478659918,13.979919679031553
0,384,6,0.1,13.664435304329798,0.6182124318862057,13.046222872443593
0,384,6,0.2,13.308490878895158,1.419738882203374,11.888751996691784
1,96,1,0.05,11.703547859974545,3.961912956966405,7.741634903008141
1,96,1,0.1,11.703547859974545,3.961912956966405,7.741634903008141
1,96,1,0.2,11.703547859974545,3.961912956966405,7.741634903008141
1,96,2,0.05,12.756292358519822,3.961912956966405,8.794379401553417
1,96,2,0.1,12.152224994098061,12.302385972936044,-0.15016097883798274
1,96,2,0.2,12.525512008436358,3.961912956966405,8.563599051469954
1,96,4,0.05,14.276997853951652,1.131095288268396,13.145902565683256
1,96,4,0.1,13.718177158088341,1.9365193446371016,11.78165781345124
1,96,4,0.2,13.00096520488098,2.7129160811917297,10.288049123689252
1,96,6,0.05,14.447042743063658,0.721068449973199,13.72597429309046
1,96,6,0.1,14.121884376056954,0.7218126850855757,13.400071690971378
1,96,6,0.2,13.57097397245824,1.5146950166721673,12.056278955786073
1,192,1,0.05,11.703547859974545,3.961912956966405,7.741634903008141
1,192,1,0.1,11.703547859974545,3.961912956966405,7.741634903008141
1,192,1,0.2,11.703547859974545,3.961912956966405,7.741634903008141
1,192,2,0.05,12.039720619668032,2.6805255195261672,9.359195100141864
1,192,2,0.1,11.72674003720914,2.6823405582540403,9.0443994789551
1,192,2,0.2,12.76947693415056,2.649154850150957,10.120322083999604
1,192,4,0.05,13.428506078892251,1.2824472337184911,12.14605884517376
1,192,4,0.1,13.549825840592298,1.2408186403353234,12.309007200256975
1,192,4,0.2,12.829629328859479,1.2619646876189652,11.567664641240514
1,192,6,0.05,14.519475608469952,0.6049878849217025,13.914487723548248
1,192,6,0.1,13.916562676508903,0.8727901656390644,13.04377251086984
1,192,6,0.2,13.927501401246484,1.2619646876189652,12.66553671362752
1,384,1,0.05,12.261471899107175,2.687157208191848,9.574314690915326
1,384,1,0.1,12.261471899107175,2.687157208191848,9.574314690915326
1,384,1,0.2,12.261471899107175,2.687157208191848,9.574314690915326
1,384,2,0.05,12.142001032916394,1.6717321592678918,10.470268873648502
1,384,2,0.1,1.6729374791841147,2.687157208191848,-1.014219729007733
1,384,2,0.2,12.179822155324855,2.687157208191848,9.492664947133008
1,384,4,0.05,13.646322705378996,0.992847227570083,12.653475477808913
1,384,4,0.1,1.6729374791841147,1.1019523739358004,0.5709851052483144
1,384,4,0.2,12.275893179313982,0.9474443642740287,11.328448815039954
1,384,6,0.05,14.291495067427611,0.5755892466571249,13.715905820770487
1,384,6,0.1,13.54017521595841,0.8797907197436681,12.660384496214743
