planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,config,seed,optimal_true_return,optimal_first_action,repair,regret,label
random_shooting,5.4228729493268615,5.4228729493268615,-4.003743477964621,256,-0.7223083169710582,9.42661642729148,4.8150486394919545,0.3114641891773489,0.7841662758514509,0.5797908747597592,0.3827540580252522,0.5797908747597592,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,,11.810467116692738,random shooting
static_proposal,5.970182642046026,5.970182642046026,5.970182642042971,256,1.0,3.055333763768431e-12,5.397412630828009,0.3475748375470118,0.8937774959209747,0.6500117620745618,0.5022137833546705,0.6500117620745618,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,,1.8365409966851451,static proposal
static_equal_budget,6.438551295083792,6.438551295083792,-4.535374782225935,1280,-0.6242789700484963,10.973926077309727,4.337507692798541,0.2812121969006464,0.7358611165998221,0.6633367847454583,0.277445542260602,0.6633367847454583,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 1280, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,,12.342098420954052,equal-budget static
cem,7.091103296631345,7.091103296631345,-5.101118757133571,1280,-1.0,12.192222053764915,11.381480943836795,0.7100525375036403,1.7025850851629714,0.2072958871468143,1.1618003869575062,0.2072958871468143,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,none,12.907842395861689,vanilla CEM
cem_uncertainty,7.459412770714753,7.505045011488677,7.505045011482094,1280,0.9021330963375996,6.583178446817328e-12,2.3657400824652963e-10,2.7039947649059313e-13,0.0366727147963511,0.1327814447683561,1.6884288805367142,0.1327814447683561,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,uncertainty_pessimism,0.3016786272460221,uncertainty CEM
cem_diversity,6.794284035538985,6.794284035538985,-5.6587912784524725,1280,-0.3756257781227456,12.45307531399146,9.83627469177788,0.6200242991284793,1.5105285379322988,0.2998289903053891,1.2053043143150095,0.2998289903053891,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,elite_diversity_floor,13.465514917180588,diversity floor
cem_veto,7.5312735194567555,7.5312735194567555,7.531273519448581,1280,0.935253234877125,8.174794174919953e-12,7.853423894105688e-11,2.21022688424316e-14,0.0355754887592929,0.1168701827515314,1.6950580570099385,0.1168701827515314,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,model_disagreement_veto,0.2754501192795358,disagreement veto
cem_shadow,6.601210415398047,7.321743212803761,-6.235267969523081,1280,-0.3149665029412319,13.557011182326844,11.54242805846467,0.7163858508136076,1.7083117326528416,0.1890498172898198,1.1313199218192755,0.1890498172898198,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,shadow_realism,14.041991608251198,shadow realism
cem_conservative,6.082053081998008,6.082053081998008,6.082053081997636,1280,1.0,3.721467578543525e-13,1.1678652388948123,0.0778054367429401,0.2703600845255131,0.7062906156524096,1.1959987204003182,1.2713231081743377,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,conservative_refit_temperature,1.724670556730481,conservative CEM
cem_pilot_calibrated,7.592990944477734,7.592990944477734,7.592990944473758,1280,0.9550637303386194,3.975486606577761e-12,1.5075803853156124e-11,2.3309735764231278e-15,0.0350648341552511,0.1008307302279439,1.7157738818912605,0.1008307302279439,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 256, 'elite_fraction': 0.1, 'iterations': 5, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.806723638728116,1.0,pilot_label_calibration,0.2137326942543582,pilot calibrated
