planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,config,seed,optimal_true_return,repair,regret,label
learned_static_proposal,3.992714563326836,3.992714563326836,5.970182642042971,192,1.0,-1.977468078716135,-0.181259959628797,0.0043724530545005,0.2492796197584656,0.5175168761390987,1.1973122467973976,0.5175168761390987,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,7.805625942442473,,1.8354433003995023,learned static
learned_cem,4.768857248137533,4.768857248137533,3.914879431834605,768,0.8523318459349688,0.8539778163029279,1.0060572751229824,3.2693640334789717e-15,0.3441301229755532,0.1020115666456483,2.0651984734881434,0.1020115666456483,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,7.805625942442473,none,3.890746510607868,learned CEM
learned_cem_uncertainty,4.430777862394433,4.695066411929447,4.48196651627056,768,0.8511117736549056,0.2130998956588863,-0.0236263729545306,1.057025947448043e-14,0.3011586344195412,0.160681928381751,1.9783842726730647,0.2088865068962763,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,7.805625942442473,uncertainty,3.323659426171913,uncertainty learned CEM
learned_cem_calibrated,4.551607164430232,4.733251751471199,4.490867667027619,768,0.8508341396267899,0.2423840844435805,-0.0236837137077791,3.1324108938372784e-15,0.2755233426676922,0.0973235370927641,1.934534383810262,0.0973235370927641,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 0, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",0,7.805625942442473,calibrated,3.314758275414855,calibrated learned CEM
learned_static_proposal,3.531421354850868,3.531421354850868,3.568073751994511,192,0.6619876760717048,-0.0366523971436434,-0.0004816787959187,0.0016324342633081,0.2404531240416711,0.5182779195257659,1.1128763511003308,0.5182779195257659,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 1, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",1,7.809129836927874,,4.241056084933363,learned static
learned_cem,5.01707481655143,5.01707481655143,1.951436475205948,768,0.97213944873644,3.0656383413454824,2.3113509848367464,6.2159335605951e-15,0.6239074170189716,0.1114136710688474,2.258226782915855,0.1114136710688474,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 1, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",1,7.809129836927874,none,5.857693361721927,learned CEM
learned_cem_uncertainty,4.586496496918442,4.917505492099534,4.5914443380197465,768,0.8780623641900479,0.3260611540797873,0.5205803460403912,4.42487990538523e-15,0.4126058263857719,0.1374941039776086,1.977467399718463,0.1787423351708912,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 1, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",1,7.809129836927874,uncertainty,3.217685498908128,uncertainty learned CEM
learned_cem_calibrated,4.319900114558222,4.537095877162876,6.708123832731126,768,0.7108526529989104,-2.17102795556825,-2.077346336531411,1.0406161532323425e-13,0.2057263847313351,0.1025793060685685,1.5867476106381255,0.1025793060685685,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 1, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",1,7.809129836927874,calibrated,1.1010060041967478,calibrated learned CEM
learned_static_proposal,4.069535027593058,4.069535027593058,5.483350540781183,192,1.0,-1.4138155131881254,-0.0051619392185647,0.0087442525576788,0.183302828403272,0.5147050999981995,1.0936155904450062,0.5147050999981995,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 2, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",2,7.808287077220781,,2.3249365364395977,learned static
learned_cem,4.81663826676292,4.81663826676292,4.067363597482187,768,0.8517803079604418,0.7492746692807328,0.6653898132818877,6.636285406132901e-15,0.3178045289593657,0.1166622995114647,1.9965385826250248,0.1166622995114647,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 192, 'elite_fraction': 0.1, 'iterations': 4, 'seed': 2, 'init_std': 0.82, 'min_std': 0.04, 'momentum': 0.0}",2,7.808287077220781,none,3.740923479738594,learned CEM
