iteration,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,proposal_drift,proposal_std_mean
0,3.7807884270125816,4.454046554237256,0.29018581430207585,0.36623532635046835,0.6500898470771084
1,9.905644834785116,5.29383935616642,0.34299734387828834,0.6131957516001176,0.5597644832415584
2,7.179649546181668,6.272798575100086,0.4055809295471324,0.9088454877786071,0.4620136896165454
3,9.233636094715896,7.847778117899732,0.49495231788685873,1.096527151754818,0.34780810529741935
4,10.86734192784756,9.129484804980914,0.5684304941844426,1.2200072457796771,0.24515539650669316
