metric,count,mean,std,min,25%,50%,75%,max
seed,180.0,2.0,1.4181583777411964,0.0,1.0,2.0,3.0,4.0
population,180.0,224.0,120.0670203905921,96.0,96.0,192.0,384.0,384.0
iterations,180.0,3.25,1.9256428948949018,1.0,1.75,3.0,4.5,6.0
elite_fraction,180.0,0.11666666666666667,0.06253490645343339,0.05,0.05,0.1,0.2,0.2
cem,180.0,9.084749205352292,5.405926618111371,0.1125998514058777,2.2914135850834203,12.169615217817707,13.620842196584945,14.582544895451033
cem_repaired,180.0,2.3309563288417445,2.5534319461078154,0.0708790108564993,0.9663621852062381,1.8336397602977497,2.3258393118126452,13.59774491506624
repair_regret_reduction,180.0,6.753792876510548,5.8140673595162955,-1.014219729007733,0.0,9.422981927812192,12.312367676194762,14.31356006822707
