population,iterations,cem,cem_repaired,repair_gain
96,1,7.704301489306094,4.734284895591246,2.970016593714848
96,2,6.90158183856454,3.877698153979795,3.023883684584745
96,4,9.497593930628563,3.027756390945639,6.469837539682924
96,6,9.688654755143052,2.639812119050651,7.048842636092401
192,1,4.696434509739993,3.148107529138366,1.5483269806016273
192,2,8.519669459645405,2.2981774986616066,6.221491960983798
192,4,11.762350177910516,1.3839121865722135,10.378437991338302
192,6,12.862029708089347,0.7540621721017189,12.107967535987628
384,1,4.138301526349405,2.223438588166339,1.9148629381830662
384,2,6.694608871484727,2.0681514228357494,4.626457448648978
384,4,12.588040278640593,1.1403891055922146,11.447651173048378
384,6,13.963423918725274,0.6756858834653879,13.287738035259887
